Кадры      Анимация
1-120      Магия - 2 руки - Ожидание(Idle)
130-170    Магия - 2 руки - Атака
180-215    Магия - Правая рука - Атака
220-250    Магия - Левая рука - Атака
620-680    Бой - Одноручное - Ожидание(Idle)
270-310    Бой - Одноручное - Атака простая 1 вариант (стоп кадр на 290 - для усиления удара (остановки анимации) (298-270 прерывание атаки путем обратной анимации)
490-520    Бой - Одноручное - Атака простая 2 вариант (стоп кадр на 500 - для усиления удара (остановки анимации) (506-490 прерывание атаки путем обратной анимации)
780-830    Бой - Одноручное - Атака выпад (стоп кадо на 800 - для усиления удара (остановки анимации)((реализовать путем коомбинации из клавиши S+ЛКМ) (808-780 прерывание атаки путем обратной анимации)
320-360    Бой - Одноручное - Атака Слева (стоп кадр на 340 - для усиления удара (остановки анимации) (345-320 прерывание атаки путем обратной анимации)
370-410    Бой - Одноручное - Атака Справа (стоп кадр на 390 - для усиления удара (остановки анимации) (398-370 прерывание атаки путем обратной анимации)
420-480    Бой - Одноручное - Серия из 2-х простых атак.
530-610    Бой - Одноручное - Серия из 3-х простых атак.
690-710    Бой - Одноручное - Прерывание удара(тест)???
720-770    Бой - Одноручное - Выпад вперед(ставить сразу после серии из 3х ударов(530-580 - обрезать на таком кадре серию из 3-х атак 3-его добивающего удара для второго варианта)
840-890    Бой - Одноручное - Блок (с 840 по 850 блок - с 850 по 840 обратно в idle; 850-860 сблочивание; 860-890 пробивание блока - хз надо не надо)
